GEOid,GEOid2,msa_name,HC01_EST_VC01,HC01_EST_VC10,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC28,HC01_EST_VC48,HC01_EST_VC78,latitude,longitude,peerGroup
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",92107,193900,1.5,9.6,0.5,65627,1321,1811,26.5628537,-81.9495331,i
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",91655,157500,4,11.2,0.4,58650,1179,1514,28.9005446,-81.2636738,i
310M200US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",89737,167200,3.5,10.9,0.7,68428,1213,1480,28.0344621,-80.5886646,j
310M200US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",89260,109900,3.4,12.8,0.4,64686,1009,1705,41.0997803,-80.6495194,j
310M200US44700,44700,"Stockton-Lodi, CA Metro Area",88321,293400,4.1,9.1,0.3,85148,1696,2756,37.9577016,-121.2907796,j
310M200US44060,44060,"Spokane-Spokane Valley, WA Metro Area",86940,199500,4.1,7.9,0.3,70515,1322,2212,47.6587802,-117.4260466,j
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",86735,148300,3.2,7.4,0.2,72316,1161,1262,33.4734978,-82.0105148,j
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",85799,218300,2.5,14.4,0.6,90531,1407,2373,35.9940329,-78.898619,j
310M200US27140,27140,"Jackson, MS Metro Area",85647,158300,2.5,9.8,0.2,71277,1175,1215,32.2987573,-90.1848103,j
310M200US16860,16860,"Chattanooga, TN-GA Metro Area",84353,160900,3.2,9.4,0.1,71570,1159,1364,35.0456297,-85.3096801,j
310M200US42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",83656,142600,2.6,13.8,0.4,73151,1212,2184,41.408969,-75.6624122,j
310M200US29540,29540,"Lancaster, PA Metro Area",82458,204300,2.1,14.6,0.7,79832,1451,3392,40.0378755,-76.3055144,j
