GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_EST_VC10,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC28,HC01_EST_VC48,HC01_EST_VC78,geo_id,geo_id2,msa_name,median_contract_rent,margin_error,city_state,latitude,longitude
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",490634,297600,3.6,14,0.9,102738,1834,3165,310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",983,14,"Baltimore, MD",39.2903848,-76.6121893
310M200US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",428776,185300,2.7,11,0.5,72460,1360,1807,310M200US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",817,11,"Tampa, FL",27.950575,-82.4571776
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",416080,184300,3.3,13.1,0.7,80447,1301,1708,310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",714,12,"Charlotte, NC",35.2270869,-80.8431267
310M200US41740,41740,"San Diego-Carlsbad, CA Metro Area",415532,494700,3.7,13.6,0.7,102360,2287,3985,310M200US41740,41740,"San Diego-Carlsbad, CA Metro Area",1295,20,"San Diego, CA",32.715738,-117.1610838
310M200US38300,38300,"Pittsburgh, PA Metro Area",401776,154800,2.4,14.5,0.5,83077,1238,2615,310M200US38300,38300,"Pittsburgh, PA Metro Area",593,9,"Pittsburgh, PA",40.4406248,-79.9958864
310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",399066,309600,4.5,13.1,0.7,90439,1700,3360,310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",884,9,"Portland, OR",45.5230622,-122.6764816
310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",380037,167000,4.3,14,0.4,85089,1360,2439,310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",614,7,"Cincinnati, OH",39.1031182,-84.5120196
310M200US28140,28140,"Kansas City, MO-KS Metro Area",361352,172000,3.2,8.5,0.5,87721,1380,2282,310M200US28140,28140,"Kansas City, MO-KS Metro Area",670,9,"Kansas City, MO",39.0997265,-94.5785667
310M200US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",352902,154600,3.1,10,0.5,81342,1205,1473,310M200US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",649,10,"Indianapolis, IN",39.768403,-86.158068
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",349827,149500,3.4,15,0.5,79243,1294,2962,310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",630,7,"Cleveland, OH",41.49932,-81.6943605
310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",343477,346700,4.3,11.3,0.5,94820,1833,3035,310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",938,13,"Sacramento, CA",38.5815719,-121.4943996
310M200US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",335214,189600,3,10.6,0.6,72947,1357,1902,310M200US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",872,11,"Orlando, FL",28.5383355,-81.3792365
310M200US18140,18140,"Columbus, OH Metro Area",334813,173300,3.3,13.6,0.5,86598,1420,3096,310M200US18140,18140,"Columbus, OH Metro Area",675,9,"Columbus, OH",39.9611755,-82.9987942
310M200US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",308832,198100,2.9,10.2,0.5,79679,1340,1480,310M200US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",722,12,"Nashville, TN",36.1626638,-86.7816016
310M200US41700,41700,"San Antonio-New Braunfels, TX Metro Area",289883,164700,1.8,5.2,0.2,81551,1369,3242,310M200US41700,41700,"San Antonio-New Braunfels, TX Metro Area",743,11,"San Antonio, TX",29.4241219,-98.4936282
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",287917,245600,2.8,5.1,0.1,99245,1698,4716,310M200US12420,12420,"Austin-Round Rock, TX Metro Area",895,12,"Austin, TX",30.267153,-97.7430608
310M200US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",283044,238700,4,12.5,0.6,84053,1596,2131,310M200US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",880,11,"Virginia Beach, VA",36.8529263,-75.977985
310M200US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",269577,223600,3.2,7.3,0.3,75349,1380,1585,310M200US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",833,10,"Las Vegas, NV",36.1699412,-115.1398296
310M200US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",260644,828500,3.1,15.3,0.9,150985,2916,6692,310M200US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1706,23,"San Jose, CA",37.3382082,-121.8863286
310M200US39300,39300,"Providence-Warwick, RI-MA Metro Area",259043,255300,2.9,14.3,0.4,91342,1747,3759,310M200US39300,39300,"Providence-Warwick, RI-MA Metro Area",759,13,"Providence, RI",41.8239891,-71.4128343
310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",254058,203500,3.6,15.7,0.6,86998,1524,3898,310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",706,7,"Milwaukee, WI",43.0389025,-87.9064736
310M200US39580,39580,"Raleigh, NC Metro Area",229349,230200,2.4,13.5,0.3,91402,1460,1996,310M200US39580,39580,"Raleigh, NC Metro Area",791,15,"Raleigh, NC",35.7795897,-78.6381787
310M200US27260,27260,"Jacksonville, FL Metro Area",227928,180600,4.7,9.9,0.6,75935,1344,1697,310M200US27260,27260,"Jacksonville, FL Metro Area",798,15,"Jacksonville, FL",30.3321838,-81.655651
310M200US40060,40060,"Richmond, VA Metro Area",221893,226200,4,13.2,0.7,85825,1486,1808,310M200US40060,40060,"Richmond, VA Metro Area",848,12,"Richmond, VA",37.5407246,-77.4360481
310M200US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",217747,156300,2.7,11.6,0.4,76085,1180,1479,310M200US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",602,10,"Louisville, KY",38.2526647,-85.7584557
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",214832,251800,4.2,15.5,0.4,104425,1910,5350,310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",867,13,"Hartford, CT",41.7637111,-72.6850932
310M200US36420,36420,"Oklahoma City, OK Metro Area",200440,153400,2.8,4.1,0.4,75360,1262,1581,310M200US36420,36420,"Oklahoma City, OK Metro Area",619,11,"Oklahoma City, OK",35.4675602,-97.5164276
310M200US32820,32820,"Memphis, TN-MS-AR Metro Area",194643,147900,3.7,7.2,0.3,74397,1244,1687,310M200US32820,32820,"Memphis, TN-MS-AR Metro Area",641,13,"Memphis, TN",35.1495343,-90.0489801
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",189968,167400,3.5,10.1,0.5,76765,1240,858,310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",591,16,"Birmingham, AL",33.5206608,-86.80249
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",187310,144500,1.7,13.4,0.3,82170,1228,3801,310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",586,10,"Buffalo, NY",42.8864468,-78.8783689
310M200US40380,40380,"Rochester, NY Metro Area",186781,141300,1.8,16.8,0.7,81376,1322,4406,310M200US40380,40380,"Rochester, NY Metro Area",686,9,"Rochester, NY",43.16103,-77.6109219
310M200US41620,41620,"Salt Lake City, UT Metro Area",180785,248800,4.4,9.5,0.5,86084,1462,1754,310M200US41620,41620,"Salt Lake City, UT Metro Area",818,18,"Salt Lake City, UT",40.7607793,-111.8910474
310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",177112,156400,2.8,13.9,0.3,77388,1187,2295,310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",666,14,"Grand Rapids, MI",42.9633599,-85.6680863
310M200US35380,35380,"New Orleans-Metairie, LA Metro Area",166158,202500,3.4,7.4,0.8,79338,1423,1419,310M200US35380,35380,"New Orleans-Metairie, LA Metro Area",756,16,"New Orleans, LA",29.9510658,-90.0715323
310M200US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",162613,159900,4,9.5,0.4,87797,1391,3152,310M200US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",685,12,"Omaha, NE",41.2523634,-95.9979883
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",161176,431300,3.5,18.6,0.8,126311,2641,7200,310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",1168,29,"Bridgeport, CT",41.1865478,-73.1951767
310M200US49340,49340,"Worcester, MA-CT Metro Area",157906,251700,3.4,16.1,0.8,98837,1765,3817,310M200US49340,49340,"Worcester, MA-CT Metro Area",794,17,"Worcester, MA",42.2625932,-71.8022934
310M200US46060,46060,"Tucson, AZ Metro Area",150779,170900,3.2,8.5,0.4,68521,1250,1718,310M200US46060,46060,"Tucson, AZ Metro Area",687,12,"Tucson, AZ",32.2217429,-110.926479
310M200US10740,10740,"Albuquerque, NM Metro Area",150081,188900,3.5,7,0.4,69897,1274,1894,310M200US10740,10740,"Albuquerque, NM Metro Area",708,19,"Albuquerque, NM",35.0853336,-106.6055534
310M200US46140,46140,"Tulsa, OK Metro Area",148724,151500,3.2,4.5,0.4,77679,1214,1577,310M200US46140,46140,"Tulsa, OK Metro Area",611,8,"Tulsa, OK",36.1539816,-95.992775
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",142776,209700,3,15,0.5,85481,1638,4193,310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",808,17,"Allentown, PA",40.6084305,-75.4901833
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",141283,211500,1.3,14.9,0.5,92318,1596,4411,310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",784,15,"Albany, NY",42.6525793,-73.7562317
310M200US19380,19380,"Dayton, OH Metro Area",137407,132400,3.3,11.9,0.8,73674,1198,2540,310M200US19380,19380,"Dayton, OH Metro Area",586,14,"Dayton, OH",39.7589478,-84.1916069
310M200US35300,35300,"New Haven-Milford, CT Metro Area",135895,247400,4.1,15,0.7,98789,1913,5629,310M200US35300,35300,"New Haven-Milford, CT Metro Area",880,14,"New Haven, CT",41.308274,-72.9278835
310M200US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",135498,157800,2.3,8.8,0.6,71962,1112,1004,310M200US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",574,20,"Greenville, SC",34.8526176,-82.3940104
310M200US28940,28940,"Knoxville, TN Metro Area",132537,163300,2.4,7.6,0.3,73248,1159,1046,310M200US28940,28940,"Knoxville, TN Metro Area",571,16,"Knoxville, TN",35.9606384,-83.9207392
310M200US17900,17900,"Columbia, SC Metro Area",128185,154000,2.4,10.7,0.9,72498,1181,1033,310M200US17900,17900,"Columbia, SC Metro Area",657,16,"Columbia, SC",34.0007104,-81.0348144
310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",127747,546700,2.8,13.1,0.9,113888,2351,4169,310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",1422,36,"Oxnard, CA",34.1975048,-119.1770516
310M200US12940,12940,"Baton Rouge, LA Metro Area",123678,190100,2.2,8.2,0.2,86715,1310,1101,310M200US12940,12940,"Baton Rouge, LA Metro Area",687,17,"Baton Rouge, LA",30.4582829,-91.1403196
310M200US17820,17820,"Colorado Springs, CO Metro Area",120943,238200,5.5,9.3,0.3,84943,1454,1212,310M200US17820,17820,"Colorado Springs, CO Metro Area",835,27,"Colorado Springs, CO",38.8338816,-104.8213634
310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",120703,221300,4.1,8.1,0.3,77699,1425,1241,310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",815,20,"Charleston, SC",32.7764749,-79.9310512
310M200US14260,14260,"Boise City, ID Metro Area",120316,197100,3.9,12,0.9,71082,1217,1472,310M200US14260,14260,"Boise City, ID Metro Area",689,16,"Boise City, ID",43.6187102,-116.2146068
310M200US10420,10420,"Akron, OH Metro Area",119495,150200,2.6,15.4,0.1,78434,1231,2531,310M200US10420,10420,"Akron, OH Metro Area",627,13,"Akron, OH",41.0814447,-81.5190053
310M200US24660,24660,"Greensboro-High Point, NC Metro Area",119101,154700,3.1,12.2,0.4,71131,1149,1553,310M200US24660,24660,"Greensboro-High Point, NC Metro Area",599,14,"Greensboro, NC",36.0726354,-79.7919754
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",117254,174100,3.1,10.3,0.3,86874,1335,3181,310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",705,15,"Des Moines, IA",41.6005448,-93.6091064
310M200US31540,31540,"Madison, WI Metro Area",113289,232600,3.6,16.9,0.5,95413,1639,4536,310M200US31540,31540,"Madison, WI Metro Area",798,15,"Madison, WI",43.0730517,-89.4012302
310M200US46520,46520,"Urban Honolulu, HI Metro Area",112055,629600,3.2,19.7,0.8,113335,2420,1720,310M200US46520,46520,"Urban Honolulu, HI Metro Area",1447,43,"Honolulu, HI",21.3069444,-157.8583333
310M200US23420,23420,"Fresno, CA Metro Area",112019,226100,3.3,6.9,0.9,74335,1455,1946,310M200US23420,23420,"Fresno, CA Metro Area",760,17,"Fresno, CA",36.7468422,-119.7725868
310M200US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",111357,157400,2.2,5.6,0.1,74872,1168,1176,310M200US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",601,12,"Little Rock, AR",34.7464809,-92.2895948
310M200US45060,45060,"Syracuse, NY Metro Area",109064,135400,1.6,16,0.3,80785,1276,3878,310M200US45060,45060,"Syracuse, NY Metro Area",645,12,"Syracuse, NY",43.0481221,-76.1474244
310M200US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",107761,227400,1.9,12.2,0.5,76389,1401,1969,310M200US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",861,22,"North Port, FL",27.044224,-82.2359254
310M200US36260,36260,"Ogden-Clearfield, UT Metro Area",107383,219500,5.5,9.7,0.7,81910,1376,1555,310M200US36260,36260,"Ogden-Clearfield, UT Metro Area",746,20,"Ogden, UT",41.223,-111.9738304
310M200US12540,12540,"Bakersfield, CA Metro Area",105985,207800,3.4,5.9,0.2,76713,1403,2100,310M200US12540,12540,"Bakersfield, CA Metro Area",739,19,"Bakersfield, CA",35.3732921,-119.0187125
310M200US49180,49180,"Winston-Salem, NC Metro Area",105022,152200,2,14.1,0.6,69114,1103,1310,310M200US49180,49180,"Winston-Salem, NC Metro Area",537,13,"Winston, NC",36.1039642,-80.254435
310M200US38860,38860,"Portland-South Portland, ME Metro Area",103557,246600,2,15.7,0.5,86314,1610,3332,310M200US38860,38860,"Portland-South Portland, ME Metro Area",814,26,"Portland, ME",43.661471,-70.2553259
310M200US48620,48620,"Wichita, KS Metro Area",97444,138900,3.3,9.1,0.4,77133,1239,1842,310M200US48620,48620,"Wichita, KS Metro Area",558,14,"Wichita, KS",37.6871761,-97.330053
310M200US44140,44140,"Springfield, MA Metro Area",97058,217200,1.8,15.2,0.6,85671,1563,3501,310M200US44140,44140,"Springfield, MA Metro Area",759,17,"Springfield, MA",42.1014831,-72.589811
310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",96831,179700,3.3,16.9,0.4,84277,1375,2612,310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",689,22,"Harrisburg, PA",40.2731911,-76.8867008
310M200US45780,45780,"Toledo, OH Metro Area",95010,131700,3.2,13.9,0.4,77732,1205,2389,310M200US45780,45780,"Toledo, OH Metro Area",533,12,"Toledo, OH",41.6639383,-83.555212
310M200US21340,21340,"El Paso, TX Metro Area",93550,127900,1.1,4.2,0.2,63257,1125,2945,310M200US21340,21340,"El Paso, TX Metro Area",639,14,"El Paso, TX",31.7775757,-106.4424559
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",92107,193900,1.5,9.6,0.5,65627,1321,1811,310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",786,17,"Cape Coral, FL",26.5628537,-81.9495331
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",91655,157500,4,11.2,0.4,58650,1179,1514,310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",805,19,"Deltona, FL",28.9005446,-81.2636738
310M200US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",89737,167200,3.5,10.9,0.7,68428,1213,1480,310M200US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",781,16,"Palm Bay, FL",28.0344621,-80.5886646
310M200US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",89260,109900,3.4,12.8,0.4,64686,1009,1705,310M200US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",501,12,"Youngstown, OH",41.0997803,-80.6495194
310M200US44700,44700,"Stockton-Lodi, CA Metro Area",88321,293400,4.1,9.1,0.3,85148,1696,2756,310M200US44700,44700,"Stockton-Lodi, CA Metro Area",864,13,"Stockton, CA",37.9577016,-121.2907796
310M200US44060,44060,"Spokane-Spokane Valley, WA Metro Area",86940,199500,4.1,7.9,0.3,70515,1322,2212,310M200US44060,44060,"Spokane-Spokane Valley, WA Metro Area",690,17,"Spokane, WA",47.6587802,-117.4260466
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",86735,148300,3.2,7.4,0.2,72316,1161,1262,310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",571,28,"Augusta, GA",33.4734978,-82.0105148
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",85799,218300,2.5,14.4,0.6,90531,1407,2373,310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",764,18,"Durham, NC",35.9940329,-78.898619
310M200US27140,27140,"Jackson, MS Metro Area",85647,158300,2.5,9.8,0.2,71277,1175,1215,310M200US27140,27140,"Jackson, MS Metro Area",625,20,"Jackson, MS",32.2987573,-90.1848103
310M200US16860,16860,"Chattanooga, TN-GA Metro Area",84353,160900,3.2,9.4,0.1,71570,1159,1364,310M200US16860,16860,"Chattanooga, TN-GA Metro Area",587,18,"Chattanooga, TN",35.0456297,-85.3096801
310M200US42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",83656,142600,2.6,13.8,0.4,73151,1212,2184,310M200US42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",566,16,"Scranton, PA",41.408969,-75.6624122
310M200US29540,29540,"Lancaster, PA Metro Area",82458,204300,2.1,14.6,0.7,79832,1451,3392,310M200US29540,29540,"Lancaster, PA Metro Area",744,25,"Lancaster, PA",40.0378755,-76.3055144
